%time,field
406552000000,0
407154000000,0
407563000000,1
408305000000,2
408769000000,2
409372000000,2
409995000000,3
410570000000,3
411082000000,2
411685000000,2
412252000000,1
412797000000,2
413415000000,3
413978000000,3
414628000000,3
415067000000,3
415617000000,3
416253000000,3
416793000000,3
417464000000,3
417958000000,3
422364000000,3
422958000000,3
423582000000,3
424162000000,3
424665000000,3
425315000000,3
425859000000,3
426377000000,3
426982000000,3
427585000000,2
428082000000,2
428700000000,2
429291000000,3
429935000000,3
430386000000,3
430963000000,2
431502000000,2
432122000000,2
432588000000,1
433151000000,0
442652000000,0
450277000000,2
457880000000,2
466481000000,2
467159000000,2
467697000000,2
468273000000,2
468860000000,2
469453000000,0
475862000000,1
476471000000,2
476883000000,2
477504000000,3
477956000000,1
478554000000,1
479181000000,2
479656000000,2
480184000000,2
480685000000,2
481258000000,1
481763000000,2
482376000000,2
482993000000,3
483468000000,2
484066000000,2
484552000000,1
485165000000,0
485751000000,0
486259000000,1
486852000000,1
487383000000,2
487952000000,1
488571000000,1
489153000000,1
489675000000,1
490150000000,1
490675000000,1
491296000000,1
491873000000,1
492265000000,0
492858000000,0
493452000000,0
493956000000,0
494549000000,0
495049000000,0
495552000000,0
496148000000,0
496752000000,0
497254000000,0
497849000000,0
498453000000,0
498949000000,0
499549000000,0
500152000000,0
500661000000,0
501273000000,0
501791000000,1
502257000000,1
502857000000,1
503448000000,0
504148000000,0
504656000000,0
505252000000,0
505851000000,1
506364000000,1
506962000000,1
507452000000,1
508063000000,1
508559000000,1
509164000000,1
509752000000,1
510354000000,1
510948000000,1
511562000000,1
512049000000,0
512652000000,0
513148000000,0
513748000000,0
514434000000,0
514859000000,0
515550000000,0
516157000000,0
516652000000,0
517247000000,0
517851000000,0
518349000000,0
518850000000,0
519367000000,0
520050000000,0
520550000000,1
521173000000,1
521761000000,1
522269000000,1
522961000000,1
